title,genres,image,description,youtube_url,published_year,actors,director
ผู้บ่าวไทบ้าน อีสานอินดี้,"ดราม่า, คอมเมดี้",,เรื่องราวของ ทองคำ อาร์ตี้ ธนฉัตร ตุลยฉัตร หนุ่มอีสานบ้านนอกที่ฝันอยากเป็นผู้กำกับหนังอันโด่งดัง ท่ามกลางความฝันลมๆ แล้งๆ ทองคำ เฝ้ารอ ปราณี (ณภัสนันท์ (ชูติมา) วันดึก) สาวคนรักที่ไปทำงานเมืองนอกหวังกลับมาแต่งงานกัน ทองคำมีเพียงไก่ชนตัวหนึ่งที่ปราณีให้ไว้ก่อนไปเมืองนอกและกลุ่มผู้บ่าวไทบ้านเป็นเพื่อน ความซวยของทองคำเกิดขึ้นเมื่อไก่ตัวรักถูกเพื่อนขโมยไปต้ม ทองคำเสียใจมากที่สุด และต้องเสียใจอีกครั้ง ในวันที่ปราณีกลับมาจากเมืองนอกพร้อมแฟนฝรั่งชาวอังกฤษเพื่อจะมาไถนาให้แม่ยายในช่วงฤดูทำข้าว(เดือนมิถุนายน) ทำให้ทองคำอกหักทันที มีเพียงเพื่อนผู้บ่าวไทบ้านคอยปลอบใจ และทองคำจะทำยังไงกับความเป็นไทบ้านลูกอีสานเพื่อดึงใจแฟนสาวไม่ให้กลับเมืองนอกกับแฟนฝรั่งหลังฤดูทำนาเสร็จ ,4Dw_W2NZO2k,,,
รักภาษาอะไร Myanmar in love in Bangkok,โรแมนติก,,รักภาษาอะไร Myanmar in love in Bangkok โดยผู้กำกับ ณิชยา บุญศิริพันธ์  พาคุณผู้ชมไปพบกับเรื่องราวระหว่างสาวช่างสักชาวไทย กับ ชายคนงานชาวพม่า ในความรักแบบติดดิน เรียบง่าย และไร้ซึ่งพรมแดนภาษามาขวางกั้น ,a3riF04Jbns,,,
เดอะเลตเตอร์ เขียนเป็นส่งตาย,สยองขวัญ,,"เสรี ชายหนุ่มพูดน้อย บุคลิกเงียบขรึม ได้รับเชิญไปงานเลี้ยงรุ่นเพื่อน ๆ ชั้นประถม เมื่อไปถึงเสรีต้องตะลึงในความสวยของ นาตยา เพื่อนร่วมรุ่นสาวที่ไม่ได้พบกันมานานเกือบ 20 ปี แต่ทั้งหมดได้รับจดหมายลูกโซ่แปลก ๆ ฉบับหนึ่ง ที่มีปริศนาคำทายและรูปของคนแขวนคอตัวเอง เรียกว่า ""แฮงค์แมน"" และมีข้อความขู่ว่าผู้ที่ได้รับต้องตาย หากจะรอด ต้องส่งต่อจดหมายฉบับนี้ไปยังคนที่ตนแค้นอีก 29 คนจึงจะรอด",_oL8XgIMjkY,,,
เมมโมรี่ รักหลอน,สยองขวัญ,,เรื่องราวแห่งความรักระหว่าง อิงอร (สิริวิมล เจริญปุระ หรือ ใหม่ เจริญปุระ) กฤช (อนันดา เอเวอร์ริ่งแฮม) และ แพร (ซัน คัมภิรานนท์) เด็กหญิงวัย 7 ขวบ เกิดขึ้นในสถานการณ์บีบบังคับ เมื่ออิงอรจำยอมพาแพร ซึ่งเป็นลูกสาวไปพบกฤชเพื่อวินิจฉัยอาการป่วย กฤชเป็นแพทย์หนุ่มที่มีแต่ความหดหู่อาลัยในชีวิต และนั่นเป็นครั้งแรกที่กฤชได้พบกับอิงอรและแพรเด็กสาวที่น่าสงสาร,B9lQuoFBmKE,,,
อรหันต์ซัมเมอร์,"ดราม่า, คอมเมดี้",,เมื่อเด็กๆทวีความซ่าซน จนชนประสานกับความร้อนระอุในปี 2526 เหล่าบรรดาผู้ปกครองต่างๆ จึงมีความคิดเห็นตรงกัน ที่จะหาหนทางกำราบลูกๆของตนเองให้ได้และวิธีที่ดีที่สุดที่ทุกคนเห็นพ้องต้องกันคือ บวช,-_gj-Nt9H5g,,,
สู้นี้เพื่อเธอ,"ดราม่า, โรแมนติก",,"""อาฟฟลิน ชายหนุ่มซึ่งอ่อนแอ แต่เมื่อเกิดความรักแท้ ทำให้เขาได้รับแรงบันดาลใจ พยายามทำทุกสิ่งเพื่อคนที่เขารัก เพื่อจุดหมายที่คาดหวังไว้ ภาพยนตร์เรื่องนี้เป็นการร่วมทุนถ่ายทำถึง 3 ประเทศ ได้แก่ ญี่ปุ่น, มาเลเซียและประเทศไทย และเปิดฉายที่มาเลเซีย และญี่ปุ่น เป็นที่เรียบร้อย เล่าเรื่องราวเกี่ยวกับกีฬาประจำชาติของประเทศญี่ปุ่น นำมาร้อยเรียงเพื่อสร้างแรงบันดาลใจให้คนที่ท้อแท้ สิ้นหวัง "" ",0JI9OwlVsbs,,,
กลางแปลง (Country Movie),"ดราม่า, แอ็คชั่น",,พ่อของพราวทำกิจการหนังกลางแปลงหนังเร่ โดยมีลูกน้องที่ไว้วางใจอย่าง แทน (เอฟ-นนทิพัทธ์) คนรักของพราว เป็นคนดูแลกิจการ แทนมีคู่แข้งคือ ชัย (ใหญ่-จตุพร) เจ้าของหน่วยหนังเร่อีกหน่วย ที่คอยฉายหนังตัดหน้าอยู่เสมอ จึงมีเรื่องชกต่อยกันเป็นประจำ ขณะที่ เข้ม (เดี่ยว-ชูพงษ์) แอบชอบพราวตั้งแต่อยู่ชั้นประถม แต่มีชีวิตอยู่อย่างสันโดษและได้ชื่อว่าเป็นนักเลงอันธพาลที่ลูกน้องมักไปเก็บค่าคุ้มครองจากหนังเร่อยู่เป็นประจำ ,JgFBs8gW5q8,,,
ร่าง (The Parallel),สยองขวัญ,,"""เอ็มมี่""หญิงสาวที่ผ่านการทำแท้งเพราะโดนอดีตชายคนรักหลอก กระทั่งเธอมีโอกาสพบกับ เด็กหญิง คนหนึ่งซึ่งประสบชะตากรรมแย่พอๆกับเธอ แต่..เรื่องมันไม่ง่ายขนาดนั้น??",n6ieR0B7VhI,,,
ผีทวงคืน,สยองขวัญ,,เรื่องราวความแปลกประหลาดสยองขวัญที่เกิดขึ้นใน 3 สถานที่ แต่ก็ดูเหมือนว่าจะมีบางอย่างที่เชื่อมโยงกัน..มันคืออะไร,mtEWbnU_3ZA,,,
นานาช่า,"คอมเมดี้, ผจญภัย",,เชียงเป็นเด็กกำพร้าที่ได้บาทหลวงดูแล แต่เขามักถูกกล่าวหาว่าเป็นตัวน้ำความโชคร้ายมาสู่หมู่บ้าน เขาจึงต้องถูกขับออกจากหมู่บ้านไปอยู่โรงเรียนนานาชาติ เขาได้มีโอกาสพบกับเพื่อนคนอื่น ได้มิตรภาพและความสนุกสนาน แต่เขาก็ยังต้องประสบกับโชคร้าย นั่นคือ เขาได้เข้าไปพัวพันกับโจรเรียกค่าไถ่ที่แฝงตัวมาเป็นครูในโรงเรียน เขากับเพื่อนๆ จึงร่วมมือกันหาทางกำจัดโจรนั้น,ou7KVSt892E,,,
191 1/2 มือปราบทราบแล้วป่วน,คอมเมดี้,,ตำรวจสายตรวจ 191 สองคนที่ต่างกันสุดขั้ว แต่ต้องมาทำงานด้วยกัน คนหนึ่งเป็นนายร้อยตำรวจไฟแรง อีกคนหนึ่งเป็นจ่าแก่ที่หมดไฟแล้ว ความต่างและทิฏฐิไม่ยอมหันหน้าเข้าหากันของทั้งสอง ก่อให้เกิดความไม่ลงรอยกันมากมาย แต่ละคดีทำให้แต่ละคนได้เรียนรู้กันและกันมากขึ้นเรื่อย ๆ และเหตุการณ์ก็นำพาให้ได้พบกับนักข่าวสาวคนหนึ่งที่เพิ่งจบใหม่ และเลือกเป็นนักข่าวสายอาชญากรรม,9PRmMeyIhJw,,,
สะใภ้บรื๋อ (Ghost In Law),"สยองขวัญ, คอมเมดี้",,เรื่องราวของ ตระกูลวงศ์วุฒิพร เจ้าของคฤหาส์นเก่าแก่มูลค่ามหาศาล ด้วยความงดงามใหญ่โต แถมยังตั้งอยู่บนพื้นที่กว้างขวางกลางใจเมืองจึงทำให้คุณหญิงวางแฟนที่จะขายสมบัติสามี เพื่อเอาเงินมาล้างหนี้สินที่เกิดจากความฟุ่มเฟือยของเธอ,7riuReHNfi4,,,
สุริยะฆาต,"ระทึกขวัญ, แอ็คชั่น",,ปรากฏการณ์ธรรมชาติที่เปลี่ยนเขาให้เป็นมนุษย์อำมหิตเมื่อทศภาคย์ทราบข่าวการโดนยิงของแฟนสาวชื่อจิรัตติกาลจึงรีบขับรถไปหาระหว่างทางนั้นเกิดมีรถบรรทุกพ่วงกำลังเลี้ยวออกมาสู่ถนนใหญ่ทำให้ทศภาคย์เสียหลักพุ่งชนสะพานพลิกคว่ำเสียชีวิตทันทีซึ่งเป็นเวลาเดียวกันกับการเกิดสุริยะคราส หลังจากนั้นหมอผันผู้มีอาคมแก่กล้าได้ทำพิธีปลุกวิญญาณควบคุมร่างทศภาคย์ให้ฟื้นคืนชีพขึ้นเพื่อให้ช่วยกำจัดศัตรูโดยที่ทศภาคย์ไม่ว่าศัตรูที่ตัวเองตามฆ่านั้นคือจิรัตติกาลให้รอดพ้นจากการถูกตามล่าของวิญญาณทศภาคย์เหตุการณ์จะเป็นเช่นไรเมื่อจิรัตติกาลรู้ความจริงทศภาคย์ตายแล้ว,4hii2vaN6Y0,,,
เราต้องสู้,แอ็คชั่น,,,ATddNZ7_B-Y,,,
โคตรเพชฌฆาต (The Brutal River),สยองขวัญ,,นรินทร์ นายตำรวจหนุ่มประจำ สภอ. บางมุด อำเภอหลังสวน จังหวัดชุมพร ออกตามหาชายคนหนึ่งที่หายไปอย่างไร้ร่องรอย โดยชาวบ้านต่างพากันโจษขานและเชื่อกันว่าเป็นฝีมือจระเข้ ที่อาศัยอยู่ในคลองบางมุด คลองซึ่งเป็นสายน้ำหลักและเปรียบเสมือนวิถีชีวิตชาวบางมุด ซึ่งนรินทร์ยังไม่ปักใจเชื่อว่าเป็นฝีมือของจระเข้ หลังจากนั้นไม่นานก็เกิดเหตุการณ์ซ้ำๆ สร้างความหวาดกลัวไปทั่วทั้งจังหวัด จน พิกุล และ กระเกด อนามัยตำบล ต้องสั่งให้ชาวบ้านระวังตัว,T9svBfI42o4,,,
หลอน (Soul),สยองขวัญ,,หลอน เป็นภาพยนตร์ไทยสยองขวัญเรื่องผี 4 ภาคของประเทศไทย,NO5zxaCSJ_Q,,,
ดงพญาไฟ,"แอ็คชั่น, แฟนตาซี",,“ดงพญาไฟ” เป็นหนังแอคชั่นแฟนตาซีเล็กๆแบบไทยๆที่ดูแล้วแอดว่าสนุกใช้ได้เลยทีเดียว มีทั้งฉากแอคชั่น ฉากสัตว์แปลกๆที่อาศัยกลางป่าลึกมาให้แฟนๆได้ชมกัน,TMJTpll53OQ,,,
คนสั่งผี Ghost Delivery,"แฟนตาซี, ระทึกขวัญ",,คนสั่งผี” เรื่องนี้สาวๆร้องกรี๊ดแน่ๆเพราะมีพระเอกขวัญใจอย่าง “อนันดา เอเวริงแฮม”มาโชว์หน้าหล่อๆมาดเข้มๆให้ชมกัน หนังอาจจะเล่าเรื่องแปลกๆหน่อยนะคะเพราะมีการเอาทั้งวิทยาศาสตร์และไสยศาสตร์มาผสมกัน,77YTDYnc_7Q,,,
Happy Inn โรงเตี๊ยม ,"สยองขวัญ, คอมเมดี้",,“โรงเตี๊ยม” มาคลายเครียดกันเรื่องราววุ่นวายภายในโรงแรมเล็กๆแห่งหนึ่งที่ดูแล้วบอกเลยค่ะว่าสนุก เพราะมีแต่ดาวตลกชื่อดังมารวมตัวกัน อาบน้ำอาบท่าสบายๆแล้วชวนคนที่รักคนในครอบครัวมานอนดูหนังเรื่องนี้ด้วยกัน,sS6KwcuAgRM,,,
มือปืนเก๋าเจ๋ง The Perfect Killers,"แอ็คชั่น, คอมเมดี้",,“มือปืนเก๋าเจ๋ง” หนังแนวแอคชั่นคอมเมดี้ที่รวบรวมเอานักแสดงที่เรียกเสียงหัวเราะไว้ให้คุณๆเพียบ เรื่องนี้แอดแนะนำว่า..อย่าดูคนเดียวไม่ใช่ว่าหนังน่ากลัวนะคะแต่เดี๋ยวนั่งขำคนเดียวเค้าจะหาว่าสติไม่ดี ต้องมีคนนั่งดูเป็นเพื่อนด้วยจะได้ช่วยกันขำ,f6j717JHMtc,,,
เพื่อนขีดเส้นใต้,"ดราม่า, โรแมนติก",,เพื่อนขีดเส้นใต้ เรื่องราวความรักของ “เพื่อนคู่ชีวิต เพื่อนแท้ เพื่อนตาย” ที่ต่างมีความสัมพันธ์ที่เกี่ยวข้องกัน จะเกิดอะไรขึ้นเมื่อ ต่อต้าน ถูกครอบครัวข้อร้องให้มีลูกเร็วๆ แต่มันไม่ได้ง่ายอย่างที่ทุกคนคิด เมื่อ จ๊ะจ๋า มีข้อแม้ว่าต่อต้านต้องเลิกสูบบุหรี่ให้ได้เสียก่อน ถึงจะยอมมีลูกด้วย จึงเป็นที่มาของสัญญาระหว่างเพื่อนคู่ชีวิต,ODYqc8aq6b8,,,
รักจัง (Ruk Jung),"ดราม่า, โรแมนติก",,“รักจัง” หนังรักบรรยากาศสวยๆที่ดูแล้วอินสุดๆ หนังมี ฟิล์ม รัฐภูมิ ที่มาแบบว่าหล่อมากๆคร้าาประกบกับ พอลล่า หนังดูแบบสบายๆ อบอุ่น สนุก อมยิ้ม บวกกับบรรยากาศสวยของอำเภอปาย,SadUu_c_xUs,,,
ปายอินเลิฟ (Pai In Love),"ดราม่า, โรแมนติก",,“ปายอินเลิฟ” คือหนังที่แอดขอใช้คำว่าสุดละมุนที่จะนำเอาบรรยากาศของเมืองปายมาถ่ายทอดให้ทุกท่านได้ชมกัน,2VYspvxqWEU,,,
รักเอาอยู่ (Love at First Flood),"คอมเมดี้, โรแมนติก",,หนึ่งในผู้ประสพภัยจากน้ำท่วมปี 54 เหมือนกัน ความรู้สึกในวันนั้นมันแย่เนาะ แต่พอได้มาเห็นภาพบรรยากาศ สถานที่ต่างๆจาก “รักเอาอยู่” บอกเลยค่ะว่ามันคืออีกหนึ่งความทรงจำที่ไม่มีวันลืมใครที่ไม่ใช่คนกรุงเทพก็รับชมกันได้นะคะกับหนังเรื่อง สนุกคร้าแล้วยังจะได้เห็นภาพกรุงเทพในอีกมุมที่แปลกไป,iLlQJ4AEyWk,,,
ซาไกยูไนเต็ด Sagai United,"กีฬา, คอมเมดี้",,“ซาไก ยูไนเต็ด” หนังสำหรับคอกีฬาแต่น้องๆหนูๆหรือสาวๆก็ดูได้นะคะ แอดยังชอบเลยเพราะหนังมีนักบอลชาวซาไกหล่อๆหลายคน หนังเล่าถึงความสนุกของทีมนักฟุตบอลนอกสายตาเพราะเป็นชนเผ่าซาไก แต่ลูกกลมๆอะไรมันก็เกิดขึ้นได้ใช้มั้ยละคร้านอกจากนักบอลที่เค้าว่าเป็นชาวซาไกจริงๆแล้วหนังก็ยังมี ป๋าอ๊อฟ พงษ์พัฒน์ มาโชว์ความเก๋าด้วยค่ะ มีความสุขกับการชมภาพยนตร์จาก พระนครฟิลม์,NiE6s_T0wRw,,,
โหดหน้าเหี่ยว 966 (Hod na hiaw 966),"แอ็คชั่น, คอมเมดี้",,"“โหด หน้า เหี่ยว 966” สุดยอดแห่งความฮาเพราะหนังได้ตลกแถวหน้าหลายท่านมาร่วมงานกัน ไม่ว่าจะเป็น จตุรงค์,โก๊ะตี๋,น้าค่อม แถมด้วยนางเอกคนสวย(น้อยกว่าแอดนะ) จ๋า ณัฐฐาวีรนุช หนังแอคชั่นคอมเมดี้เรื่องนี้ห้ามพลาดด้วยประการทั้งปวงคร้า ของดี ของสนุก",qiOXSFFykVU,,,
มือปืน/โลก/พระ/จัน (Killer Tattoo),"แอ็คชั่น, ดราม่า, คอมเมดี้, อาชญากรรม",,กรุงเทพมหานคร ปีพุทธศักราช 2554 เป๋ ปืนควาย (เทพ โพธิ์งาม) อดีตมือปืนรุ่นใหญ่ถูกปล่อยตัวออกจากคุก พร้อมสังขารที่ชราภาพ งานแรกที่ได้รับการติดต่อให้สังหาร เถกิง มือปราบตงฉินฉายา ตำรวจเหล็ก ,c_dtam3Ertg,,,
บ้านผีสิง,สยองขวัญ,, หนังเล่าเรื่องของคดีฆาตกรรมอำพรางแปลกๆที่เกิดซ้อนๆกันที่บ้านหลังหนึ่ง,z_2p-DyLFt0,,,
ม.3 ปี 4 เรารักนาย (Primary Love),"ดราม่า, โรแมนติก",,"ม.3 ปี 4 เรารักนาย เป็นภาพยนตร์ไทย ออกฉายวันที่ 30 เมษายน พ.ศ. 2552 กำกับโดยเหมันต์ เชตมี นำแสดงโดย บัว - สโรชา ตันจรารักษ์, คูณ - คณิน บัดติยา, แจม - ชลธร ปรัชญารุ่งโรจน์ จากวง ซิสก้า (Siska), ป๊อป - ศุภสิทธิ์ ชินวินิจกุล, จุรี โอศิริ และเพ็ญพักตร์ ศิริกุล มีเรื่องราวเกี่ยวกับ ""แรกรัก"" และ ""รักแรก"" ที่สะท้อนการใช้ชีวิตของวัยรุ่นหนุ่มสาว และมีเอ็มเอสเอ็นที่มีอิทธิพลต่อชีวิต ในบรรยากาศของเมืองภูเก็ต และแหลมพรหมเทพ",mF5u97vHCS4,,,
ศพใต้เตียง,สยองขวัญ,,"รวมเรื่องสั้นของนักเขียนฉายา ""สตีเฟ่น คิงเมืองไทย"" ถ่ายทอดจินตนาการอันแหลมคมไว้อย่างสุดฝีมือ 19 เรื่องสั้นหักมุมเขย่าขวัญ ฆาตกรรมอำพรางที่สนุกสนาน ตื่นเต้น ระทึกใจ",bTXYztl0Ttw,,,
สามย่าน (Sam Yan),"คอมเมดี้, สยองขวัญ",,"สามย่าน เป็นภาพยนตร์ไทยแนวตลก ออกฉายเมื่อวันที่ 20 พฤษภาคม พ.ศ. 2553 กำกับโดยภูพิงค์ พังสะอาด, ยุทธเลิศ สิปปภาค, เจริญพร อ่อนละม้าย นำแสดงโดย เกียรติศักดิ์ อุดมนาค, โก๊ะตี๋ อารามบอย, อี๊ด โปงลางสะออน, ทองภูมิ สิริพิพัฒน์, ปิยา พงศ์กุลภา, ปานวาด เหมมณี, ค่อม ชวนชื่น, ลูลู่ตี๋ โปงลางสะออน, ลาล่า โปงลางสะออน, ปฏิญญา ควรตระกูล, อังเคิล อดิเรก, เห็ดเผาะ เชิญยิ้ม",yYkZuMI1p5Q,,,
ดารัมซาล่า Dharamsala,ดราม่า,,หนังเล่าเรื่องของผู้ชายที่ถือตน แต่สุดท้ายก็ได้คิด,HOfET9bMEpc,,,
รินลณี ผีถ้วยแก้ว,สยองขวัญ,,,h1viFvKk-_s,,,
เจ้าพ่อแซ่แต้ เจ้าแม่แซ่ตั้ง,คอมเมดี้,,,g__zIt281yI,,,
ทวารยังหวานอยู่ (Bangkok Loco),คอมเมดี้,,"ทวารยังหวานอยู่ ออกฉายเมื่อวันที่ 7 ตุลาคม พ.ศ. 2547 กำกับโดย พรชัย หงษ์รัตนาภรณ์ อยู่ในค่ายของ อาร์ เอส.ฟิล์ม และ บริษัท ถ่ายสะดวก จำกัด นำแสดงโดย กฤษดา สุโกศล แคลปป์ หรือ น้อย วงพรู รับบท เบ๊, นันทกา วรวณิชชานันท์ รับบท ต้น, นิพนธ์ ชัยศิริกุล รับบท ไอ้หูดำ, นพดล ทวีทำนุสิน รับบท เหมียว และ ภคภัทร บุญสมธรรม รับบท อู๋ ",wD6rHWiZkOo,,,
โคลนนิ่ง คนก๊อปปี้คน,แอ็คชั่น,,"โคลนนิ่ง คนก๊อปปี้คน ออกฉายเมื่อ พ.ศ. 2542 นำแสดงโดยพี่หนุ่ย อำพล ลำพูน หรือ หนุ่ย ไมโคร หนังได้รับรางวัลตุ๊กตาทอง สาขานักแสดงฝ่ายชายยอดเยี่ยม , ตุ๊กตาเงิน สาขานักแสดงดาวรุ่งฝ่ายหญิงยอดเยี่ยม , รางวัลบันทึกเสียงยอดเยี่ยมจากสมาพันธ์ภาพยนตร์แห่งชาติ , รางวัลลำดับภาพยอดเยี่ยม จากชมรมวิจารณ์บันเทิง , 1 ใน 5 ภาพยนตร์ไทยที่เข้าร่วมประกวดในงานมหกรรมภาพยนตร์เอเชีย-แปซิฟิค ครั้งที่ 44",gaqbcIunoHQ,,,
ไทยถีบ (Thai Thief),"แอ็คชั่น, คอมเมดี้",,“ขบวนการไทยถีบ” ถีบหีบในตู้รถไฟขนของญี่ปุ่น! เปิดดูผงะหงาย กลายเป็นธนบัตรไทยทั้งตู้!!,gMcEF9_Lnuo,,,
สังหรณ์ (Omen),"สยองขวัญ, ระทึกขวัญ",,,Lc03qBbm9VI,,,
เด็กระเบิด ยืดแล้วยึด | EXTREME GAME,"แอ็คชั่น, อาชญากรรม",,เด็กระเบิด ยืดแล้วยึด หนังดังในอดีตที่แอดกล้าเอาอกอันอวบอั๋นรับประกันได้เลยค่ะว่า คุณๆที่อายุขึ้นหลัก 4 ต้องรู้จักว่าหนังเรื่องนี้มันสนุกมันดีระดับไหน ,HWJaZn13F1s,,,
34 24 36 สวยเด็ดอย่าบอกใคร,"คอมเมดี้, ดราม่า",, เรื่องราวของผู้ชายที่โชคชะตาเล่นตลกทำให้ต้องพิสูจน์อะไรบางอย่าง หนังมีนักแสดงดังๆอยู่หลายท่าน สนุกขำแต่อาจจะมีแอบจี๊ดโดนใจอะไรบางอย่าง ,ZzKdwKMMb0I,,,
ศพไร้เงา ,สยองขวัญ,,,yml-f30LZjY,,,
รักสยาม เท่าฟ้า (First Flight),"ดราม่า, สงคราม",,รักสยามเท่าฟ้า หนังที่บอกเล่าความเป็นมาของการบินในประเทศไทย,v2wnbtkJtT8,,,
ตะลุมพุก มหาวาตภัยล้างแผ่นดิน,"ระทึกขวัญ, โรแมนติก",, เรื่องนี้สร้างจากเค้าโครงเหตุการณ์จริงที่เกิดขึ้นเมื่อปี พ.ศ.2505 นับได้ว่าเป็นวาตภัยครั้งร้ายแรงมาก ภาพในหนังจะนำคุณย้อนกลับไปในวันเกิดเหตุผสานกับเรื่องราวของความรัก,iymLD4YmlcI,,,
ปักษาวายุ (Garuda),"ไซไฟ, แอ็คชั่น",,ปักษาวายุ ภาพยนตร์ไทยแนวแอ็คชั่นไซไฟ ออกฉายเมื่อวันที่ 1 เมษายน พ.ศ. 2547 ,TBr-eIiEAQA,,,
คลื่นฝัน ควันรัก,โรแมนติก,,"เรื่องราวของ ""เอิร์ธ"" (ทัช ณ ตะกั่วทุ่ง) ชายหนุ่มเจ้าของบาร์เหล้าเล็กๆ ริมหาด ไม่เคยคาดคิดเลยว่าเขาจะมีโอกาสได้พบรักกับ ""ปรายฟ้า"" (ซาร่า มาลากุล เลน) ซุปเปอร์โมเดลชื่อดัง ความรักของทั้งคู่ค่อยๆ ก่อตัวในช่วงเวลาสั้นๆ แต่ทุกรักแท้ย่อมมีอุปสรรคมาทดสอบใจ ไม่ว่าจะเป็นโลกของทั้งคู่ที่ต่างกันโดยสิ้นเชิง และ ""แบงค์"" (โอลิเวอร์ พูพาร์ท) ที่ทำทุกวิถีทางเพื่อกำจัดเขาให้พ้นทางนิยามแห่งความรักที่ทั้งคู่ขีดเขียนขึ้นมาด้วยกัน จะพบกับความสุขสมหวังหรือไม่?...",kNi-RgH4ppI,,,
เกิดอีกทีต้องมีเธอ (Dark Side Romance),"ดราม่า, โรแมนติก, แฟนตาซี",,"เกิดอีกทีต้องมีเธอ ภาพยนตร์ไทยในปี พ.ศ. 2538 นำแสดงโดย ทัช ณ ตะกั่วทุ่ง, กุลสตรี ศิริพงษ์ปรีดา, โชคชัย เจริญสุข กำกับโดย ปรัชญา ปิ่นแ",cxp7SJIC2kA,,,
Club Zaa คลับซ่า ปิดตำราแสบ,วัยรุ่น,,คลับซ่า ปิดตำราแสบ หนังสนุกๆที่แอดว่าน่าจะเหมาะกับแฟนๆของแอดที่กำลังเรียนกันอยู่ เรื่องราวความห่าม ความซ่า ความจ๋อย ของเด็กวัยรุ่น ดูแล้วคิดถึงสมัยที่แอดยังวัยละอ่อนเลยอะ ,VnSOXPmPOVA,,,
รักนะ 24 ชั่วโมง (Rakna 24 Chuamohng),"วัยรุ่น, โรแมนติก",,รักนะ 24 ชั่วโมง' เป็นภาพยนตร์ไทยที่ออกฉายในปี พ.ศ. 2550 ผลิตโดย อาร์เอสฟิล์ม มีเนื้อเรื่องเกี่ยวกับพนักงานร้านสะดวกซื้อ เซเว่น อีเลฟเว่น,Q5tutU2XXJQ,,,
บ้านหลังนี้ผีดุ,สยองขวัญ,,จากกลุ่ม​เด็ก​ที่ชอบล่าท้าผีกับรายการ​วิทยุ นำไปสู่เรื่องราวความสยอง ความเศร้า และคดีฆาตกรรม​ ที่ยังปิดไม่ได้,3Ph3O79B4Qw,,,
เลือดเด็ก (Child Blood),สยองขวัญ,,"แมงป่องภูมิในเสนอภาพยนตร์ที่แสดงถึงเรื่องราวไสยศาสตร์ลึกลับและตำราผีบอก สัมผัสมรณะแห่งภาพยนตร์สยองขวัญ มนต์ดำและอันตรายที่น่ากลัวนำแสดงโดย ต้น-จักรกฤษณ์ อมรัตน์ และ เฟรส อลิสรา วงศ์ชาลี ในภาพยนตร์เรื่อง...""เลือดเด็ก""",WQt318NoTp4,,,
จอมขมังเวทย์,"แอ็คชั่น, แฟนตาซี",,จอมขมังเวทย์ หนังบู๊แอคชั่น ที่ว่ากันด้วยเรื่องของไสยเวทย์ อาคมเข้ม ,5bLLvjFalt8,,,
ไชน่า เกิร์ล (China Girl),"ดราม่า, อาชญากรรม",,,IhKRnTIkez4,,,
ปล้นนะยะ (Spicy Beauty Queen of Bangkok),"คอมเมดี้, อาชญากรรม",,ปล้นนะยะ หรือ ในชื่อภาษาอังกฤษว่า Spicy Beautyqueen in Bangkok เคยออกฉายเมื่อวันที่ 6 กุมภาพันธ์ ปี พ.ศ. 2547,PnWBfz_437I,,,
ล่องจุ๊น ขอหมอนใบนั้นที่เธอฝันยามหนุน (Long June),ดราม่า,,,T1rrhzz7JFY,,,
ซานตาคลอส โจรสะเออะปล้น,"คอมเมดี้, อาชญากรรม",,,RMosvLjt-M,,,
ช่องส่องผี The Real Ghosts,สยองขวัญ,,,7u_pxg4N-eE,,,
แซ่บ,"แอ็คชั่น, คอมเมดี้",,,HgQ2ngyx5eA,,,
18 80 เพื่อนซี้ไม่มีซั้ว,"ดราม่า, คอมเมดี้",,,ILc0wQ5Rs28,,,
Forest Of Dead สาง-สาปวิญญาณ,แอ็คชั่น,,สางสาปวิญญาณ หนังแอคชั่นแบบบ้านๆที่ห่างหายกันไปนาน..,firBWZgsX9c,,,
ผีเสื้อสมุทร ,"แฟนตาซี, โรแมนติก",,,tiTAjbYOQ_g,,,
ปาฏิหาริย์โอม+สมหวัง (Pathihan Aom+Somwang),ดราม่า,,,KUzvm_RQTQc,,,
อยากอยู่อย่างใหญ่,ดราม่า,,ภาพยนตร์ที่จะทำให้ทุกคนรู้ซึ้งถึงชีวิตความลำบากของกลุ่มคนในระดับรากหญ้าอย่างสุด ๆ เป็นหนังที่มีเนื้อหาที่ดีมีประโยชน์ต่อสังคมไทยเราในยามวิกฤต เป็นแรงบันดาลใจให้กับผู้ที่กำลังเผชิญชะตาชีวิตที่ตกต่ำย่ำแย่ ลำเค็ญแร้นแค้น ,qXX-mL9jLCg,,,
จ๊ะเอ๋ โกยแล้วจ้า (Ja Ae Koy Leaw Ja),"คอมเมดี้, สยองขวัญ",,,3TN4-C10ObA,,,
